,Unnamed: 0,filename,caption_generated,Pass(0)/Fail(1),Objects_Present
0,0,/kaggle/input/facebook-hateful-meme-dataset/data/img/52691.png,Trump supporters,0,"['trump', 'supporter']"
1,1,/kaggle/input/facebook-hateful-meme-dataset/data/img/37825.png,Illegal aliens with immigrants,0,"['alien', 'immigrant']"
2,2,/kaggle/input/facebook-hateful-meme-dataset/data/img/06781.png,"A bullet, a gun, and a crocheted object",0,"['bullet', 'gun', 'object']"
3,3,/kaggle/input/facebook-hateful-meme-dataset/data/img/49075.png,"tents, a campground, and a question mark",0,"['tent', 'campground', 'question', 'mark']"
4,4,/kaggle/input/facebook-hateful-meme-dataset/data/img/73516.png,When the Jews geneti,0,['Jews']
5,5,/kaggle/input/facebook-hateful-meme-dataset/data/img/14260.png,The objects are the snow covered mountains,0,"['object', 'snow', 'mountain']"
6,6,/kaggle/input/facebook-hateful-meme-dataset/data/img/84059.png,"Trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans",0,"['Trans', 'woman', 'woman', 'tran', 'woman', 'woman', 'tran', 'woman', 'woman', 'tran', 'woman', 'woman', 'tran', 'woman', 'woman', 'tran', 'woman', 'woman', 'tran', 'woman', 'woman', 'tran', 'woman', 'woman', 'tran', 'woman', 'woman', 'tran', 'woman', 'woman', 'tran', 'woman', 'woman', 'tran', 'woman', 'woman', 'tran', 'woman', 'woman', 'tran', 'woman', 'woman', 'tran', 'woman', 'woman', 'tran', 'woman', 'woman', 'tran', 'woman', 'woman', 'tran']"
7,7,/kaggle/input/facebook-hateful-meme-dataset/data/img/91753.png,America is made from immigrants,0,"['America', 'immigrant']"
8,8,/kaggle/input/facebook-hateful-meme-dataset/data/img/68472.png,a happy and stupid couple,0,['couple']
9,9,/kaggle/input/facebook-hateful-meme-dataset/data/img/04915.png,Rhinos.,0,['Rhinos']
10,10,/kaggle/input/facebook-hateful-meme-dataset/data/img/91654.png,A woman and her daughter,0,"['woman', 'daughter']"
11,11,/kaggle/input/facebook-hateful-meme-dataset/data/img/47982.png,God created this not that,0,['God']
12,12,/kaggle/input/facebook-hateful-meme-dataset/data/img/71083.png,Chickens,0,['chicken']
13,13,/kaggle/input/facebook-hateful-meme-dataset/data/img/73045.png,Where's jaws when you need him?,0,['jaw']
14,14,/kaggle/input/facebook-hateful-meme-dataset/data/img/47938.png,The coal miner,0,"['coal', 'miner']"
15,15,/kaggle/input/facebook-hateful-meme-dataset/data/img/89465.png,"A gun, a woman, and a question mark",0,"['gun', 'woman', 'question', 'mark']"
16,16,/kaggle/input/facebook-hateful-meme-dataset/data/img/53260.png,3 muslims walk into a bar,0,"['muslim', 'bar']"
17,17,/kaggle/input/facebook-hateful-meme-dataset/data/img/50738.png,White kids,0,['kid']
18,18,/kaggle/input/facebook-hateful-meme-dataset/data/img/89754.png,"The city of hong kong, the hong kong skyline, and the hong kong harbor",0,"['city', 'hong', 'kong', 'hong', 'kong', 'skyline', 'hong', 'kong', 'harbor']"
19,19,/kaggle/input/facebook-hateful-meme-dataset/data/img/36095.png,"A woman with her mouth open, a man with his mouth open, and a man with his mouth open",0,"['woman', 'mouth', 'open', 'man', 'mouth', 'open', 'man', 'mouth']"
20,20,/kaggle/input/facebook-hateful-meme-dataset/data/img/85410.png,A bomb,0,['bomb']
21,21,/kaggle/input/facebook-hateful-meme-dataset/data/img/28759.png,"A dog, a cat, a chair, a table, a lamp, a lampshade, a lamp, a lampshade, a lampshade, a lampshade, a lampshade, a lampshade, a lampshade, a lampshade, a lampshade, a lampshade, a lampshade, a lampshade, a lampshade, a lampsh",0,"['dog', 'cat', 'chair', 'table', 'lamp', 'lampshade', 'lamp', 'lampshade', 'lampshade', 'lampshade', 'lampshade', 'lampshade', 'lampshade', 'lampshade', 'lampshade', 'lampshade', 'lampshade', 'lampshade', 'lampshade', 'lampsh']"
22,22,/kaggle/input/facebook-hateful-meme-dataset/data/img/51094.png,"A truck, a man, and a question",0,"['truck', 'man', 'question']"
23,23,/kaggle/input/facebook-hateful-meme-dataset/data/img/49613.png,What can we say?,0,[]
24,24,/kaggle/input/facebook-hateful-meme-dataset/data/img/70942.png,Dildos,0,['dildo']
25,25,/kaggle/input/facebook-hateful-meme-dataset/data/img/35708.png,The children of the 1940s,0,"['child', '1940']"
26,26,/kaggle/input/facebook-hateful-meme-dataset/data/img/52140.png,"A steak, a black jacket, and a man with a beard",0,"['steak', 'jacket', 'man', 'beard']"
27,27,/kaggle/input/facebook-hateful-meme-dataset/data/img/23018.png,Sandwiches,0,['sandwich']
28,28,/kaggle/input/facebook-hateful-meme-dataset/data/img/12867.png,"A man in a white shirt, a man in a black shirt, and a man in a black shirt",0,"['man', 'shirt', 'man', 'shirt', 'man', 'shirt']"
29,29,/kaggle/input/facebook-hateful-meme-dataset/data/img/72461.png,Baked,0,[]
