,Unnamed: 0,filename,caption_generated,Pass(0)/Fail(1),Objects_Present
0,0,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_51964.png,a man in a plaid shirt sitting in the back of a truck,0,"['man', 'shirt', 'back', 'truck']"
1,1,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_35691.png,The objects are the hands of the person in the image,0,"['object', 'hand', 'person', 'image']"
2,2,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_31029.png,a man with a microphone,0,"['man', 'microphone']"
3,3,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_75216.png,A donkey,0,['donkey']
4,4,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_83206.png,the nazi party,0,"['nazi', 'party']"
5,5,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_24178.png,A woman with a microphone,0,"['woman', 'microphone']"
6,6,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_82609.png,A dog,0,['dog']
7,7,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_81054.png,A pig,0,['pig']
8,8,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_42398.png,Jon Hamm,0,"['Jon', 'Hamm']"
9,9,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_32540.png,A chef preparing food in a commercial kitchen,0,"['chef', 'food', 'kitchen']"
10,10,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_05439.png,Hands,0,['hand']
11,11,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_85429.png,A tiger,0,['tiger']
12,12,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_20978.png,a child eating a bowl of cereal,0,"['child', 'bowl', 'cereal']"
13,13,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_64287.png,a woman wearing a hijab,0,"['woman', 'hijab']"
14,14,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_97015.png,The objects are the men in the image,0,"['object', 'man', 'image']"
15,15,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_64901.png,A chimpanzee,0,['chimpanzee']
16,16,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_53812.png,A man holding a gun,0,"['man', 'gun']"
17,17,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_75984.png,The joker,0,['joker']
18,18,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_34582.png,a crowd of people,0,"['crowd', 'people']"
19,19,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_37620.png,"A child, smiling",0,['child']
20,20,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_56473.png,a jewish man wearing a hat and a woman wearing a head scarf,0,"['man', 'hat', 'woman', 'head', 'scarf']"
21,21,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_54976.png,"a bowl of food, a spoon, and a spoon",0,"['bowl', 'food', 'spoon', 'spoon']"
22,22,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_65297.png,A child hugging a dog,0,"['child', 'dog']"
23,23,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_17345.png,a child holding an ak-47,0,"['child', 'ak-47']"
24,24,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_91750.png,"a woman covering her face with her hands, a man holding her hands, and a man with a gun",0,"['woman', 'face', 'hand', 'man', 'hand', 'man', 'gun']"
25,25,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_37285.png,"A woman in a white shirt, a man in a suit, and a woman in a white shirt",0,"['woman', 'shirt', 'man', 'suit', 'woman', 'shirt']"
26,26,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_13976.png,A man with his hand up,0,"['man', 'hand']"
27,27,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_67983.png,a man in uniform,0,"['man', 'uniform']"
28,28,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_71869.png,"a table, a chair, a man, a woman, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a",0,"['table', 'chair', 'man', 'woman', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog']"
29,29,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_68409.png,a bigfoot,0,['bigfoot']
30,30,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_14695.png,a child sitting on a couch,0,"['child', 'couch']"
31,31,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_80321.png,"A tiger, a fish, and a tree",0,"['tiger', 'fish', 'tree']"
32,32,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_28637.png,three women sitting on a couch watching a movie,0,"['woman', 'couch', 'movie']"
33,33,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_32069.png,"a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a",0,"['man', 'bar', 'man', 'bar', 'man', 'bar', 'man', 'bar', 'man', 'bar', 'man', 'bar', 'man', 'bar', 'man', 'bar', 'man', 'bar', 'man', 'bar', 'man', 'bar', 'man', 'bar', 'man', 'bar', 'man', 'bar']"
34,34,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_04619.png,A woman and a man,0,"['woman', 'man']"
35,35,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_60981.png,a woman with tattoos,0,"['woman', 'tattoo']"
36,36,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_90572.png,A woman measuring her waist,0,"['woman', 'waist']"
37,37,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_45730.png,A red underwear,0,['underwear']
38,38,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_54301.png,a man and a woman,0,"['man', 'woman']"
39,39,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_80926.png,"a man in a chair, holding a microphone, and a movie poster",0,"['man', 'chair', 'microphone', 'movie', 'poster']"
40,40,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_51630.png,A man is sleeping on a table with a beer in his hand,0,"['man', 'table', 'beer', 'hand']"
41,41,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_73198.png,a woman holding a baby gorilla,0,"['woman', 'baby', 'gorilla']"
42,42,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_80243.png,a group of people standing in a forest,0,"['group', 'people', 'forest']"
43,43,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_96801.png,"A bar, a man, and a woman",0,"['bar', 'man', 'woman']"
44,44,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_41502.png,"The woman is wearing a headscarf, a ring, and a gold ring",0,"['woman', 'headscarf', 'ring', 'gold', 'ring']"
45,45,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_10952.png,A group of people in an office,0,"['group', 'people', 'office']"
46,46,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_69205.png,A computer,0,['computer']
47,47,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_05198.png,a woman in a white dress,0,"['woman', 'dress']"
48,48,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_85670.png,a man pointing to something,0,"['man', 'something']"
49,49,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_75104.png,A man in a coat and tie,0,"['man', 'coat']"
50,50,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_83295.png,Confetti,0,['Confetti']
51,51,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_65473.png,Two goats,0,['goat']
52,52,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_78931.png,A woman in a hospital hallway,0,"['woman', 'hospital', 'hallway']"
53,53,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_13276.png,people,0,['people']
54,54,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_37814.png,A clown,0,['clown']
55,55,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_97345.png,"a nazi uniform, a swastika, and a nazi salute",0,"['nazi', 'uniform', 'swastika', 'salute']"
56,56,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_81724.png,a father and son,0,"['father', 'son']"
57,57,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_04583.png,a man in a suit and tie,0,"['man', 'suit']"
58,58,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_62471.png,a child and a woman,0,"['child', 'woman']"
59,59,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_28613.png,a group of men sitting on a bench,0,"['group', 'man', 'bench']"
60,60,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_56812.png,a woman sitting at a desk,0,"['woman', 'desk']"
61,61,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_73480.png,a child and a chef,0,"['child', 'chef']"
62,62,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_16952.png,a basketball game,0,"['basketball', 'game']"
