,id,img,hateful_label,text,Sentiment_Label,Sentiment_Score
0,1235,img/01235.png,hateful,when you're feeling horny asf but your habibi is on periods let's try a goat,POSITIVE,0.9145923
1,1236,img/01236.png,not-hateful,meanwhile at the isis strip club,POSITIVE,0.9935249
2,1243,img/01243.png,not-hateful,"when your human says ""who' s a good girl?"" and you already know it's you",POSITIVE,0.99522525
3,1245,img/01245.png,not-hateful,and that was the last nativity play my son was invited to take part in,NEGATIVE,0.9843784
4,1247,img/01247.png,hateful,you can't be racist if there is no other race,NEGATIVE,0.9870612
5,1256,img/01256.png,hateful,when your debit card decline at the abortion clinic and they have to put the baby back in,NEGATIVE,0.99881315
6,1258,img/01258.png,hateful,ladies! if your man is offended by this he is a faggot. end of story,NEGATIVE,0.9989536
7,1264,img/01264.png,not-hateful,you're a special kinda nuts aren't you?,NEGATIVE,0.9797134
8,1268,img/01268.png,not-hateful,father and daughter bonding time is the best like and share if you agree,POSITIVE,0.99876136
9,1269,img/01269.png,hateful,kermit the frog definitely not a muslim,NEGATIVE,0.9938647
10,1274,img/01274.png,not-hateful,how you guys think you looks like but when pados wale pandit jee sees you taba renso,NEGATIVE,0.9825116
11,1275,img/01275.png,not-hateful,if you think t willl stop eating palony and viannas voetsek!!! stupid no brain here,NEGATIVE,0.99660784
12,1276,img/01276.png,not-hateful,a smile is worth a thousand words,POSITIVE,0.9970981
13,1278,img/01278.png,hateful,hope on a rope it's what everyone's been waiting for,POSITIVE,0.9948603
14,1284,img/01284.png,hateful,muslims offend me,NEGATIVE,0.9992996
15,1285,img/01285.png,not-hateful,do i have to go to space???,NEGATIVE,0.993169
16,1293,img/01293.png,not-hateful,when you forget to wash your hands,NEGATIVE,0.9994698
17,1295,img/01295.png,hateful,"men wearing dresses and molesting our children? the word you're looking for is clergy, not transgender",NEGATIVE,0.99659204
18,1324,img/01324.png,not-hateful,the great train robbers,POSITIVE,0.9843513
19,1325,img/01325.png,not-hateful,when your world cup team scores a goal,POSITIVE,0.996071
20,1327,img/01327.png,not-hateful,"i'm not sick, i'm twisted sick makes it sound like there's a cure",NEGATIVE,0.99788797
21,1329,img/01329.png,not-hateful,saddle up motherfuckers it's time to play cowboys,POSITIVE,0.99691653
22,1348,img/01348.png,not-hateful,meanwhile at the isis strip club,POSITIVE,0.9935249
23,1349,img/01349.png,hateful,girl you're so special i'm gonna give you a gold star,POSITIVE,0.9986964
24,1358,img/01358.png,not-hateful,new implant allows muslims to speak directly with allah apply to forehead,POSITIVE,0.99756324
25,1359,img/01359.png,not-hateful,area 51 naruto runners naruto runners let me iiiiiiiiiiiiin! let me in,POSITIVE,0.99701726
26,1364,img/01364.png,hateful,and that was the last nativity play my son was invited to take part in,NEGATIVE,0.9843784
