,filename,caption_generated,Pass(0)/Fail(1)
0,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_51964.png,a man in a plaid shirt sitting in the back of a truck,0
1,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_35691.png,The objects are the hands of the person in the image,0
2,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_31029.png,a man with a microphone,0
3,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_75216.png,A donkey,0
4,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_83206.png,the nazi party,0
5,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_24178.png,A woman with a microphone,0
6,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_82609.png,A dog,0
7,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_81054.png,A pig,0
8,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_42398.png,Jon Hamm,0
9,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_32540.png,A chef preparing food in a commercial kitchen,0
10,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_05439.png,Hands,0
11,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_85429.png,A tiger,0
12,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_20978.png,a child eating a bowl of cereal,0
13,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_64287.png,a woman wearing a hijab,0
14,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_97015.png,The objects are the men in the image,0
15,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_64901.png,A chimpanzee,0
16,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_53812.png,A man holding a gun,0
17,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_75984.png,The joker,0
18,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_34582.png,a crowd of people,0
19,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_37620.png,"A child, smiling",0
20,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_56473.png,a jewish man wearing a hat and a woman wearing a head scarf,0
21,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_54976.png,"a bowl of food, a spoon, and a spoon",0
22,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_65297.png,A child hugging a dog,0
23,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_17345.png,a child holding an ak-47,0
24,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_91750.png,"a woman covering her face with her hands, a man holding her hands, and a man with a gun",0
25,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_37285.png,"A woman in a white shirt, a man in a suit, and a woman in a white shirt",0
26,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_13976.png,A man with his hand up,0
27,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_67983.png,a man in uniform,0
28,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_71869.png,"a table, a chair, a man, a woman, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a",0
29,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_68409.png,a bigfoot,0
30,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_14695.png,a child sitting on a couch,0
31,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_80321.png,"A tiger, a fish, and a tree",0
32,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_28637.png,three women sitting on a couch watching a movie,0
33,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_32069.png,"a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a man in a bar, a",0
34,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_04619.png,A woman and a man,0
35,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_60981.png,a woman with tattoos,0
36,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_90572.png,A woman measuring her waist,0
37,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_45730.png,A red underwear,0
38,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_54301.png,a man and a woman,0
39,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_80926.png,"a man in a chair, holding a microphone, and a movie poster",0
40,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_51630.png,A man is sleeping on a table with a beer in his hand,0
41,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_73198.png,a woman holding a baby gorilla,0
42,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_80243.png,a group of people standing in a forest,0
43,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_96801.png,"A bar, a man, and a woman",0
44,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_41502.png,"The woman is wearing a headscarf, a ring, and a gold ring",0
45,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_10952.png,A group of people in an office,0
46,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_69205.png,A computer,0
47,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_05198.png,a woman in a white dress,0
48,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_85670.png,a man pointing to something,0
49,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_75104.png,A man in a coat and tie,0
50,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_83295.png,Confetti,0
51,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_65473.png,Two goats,0
52,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_78931.png,A woman in a hospital hallway,0
53,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_13276.png,people,0
54,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_37814.png,A clown,0
55,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_97345.png,"a nazi uniform, a swastika, and a nazi salute",0
56,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_81724.png,a father and son,0
57,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_04583.png,a man in a suit and tie,0
58,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_62471.png,a child and a woman,0
59,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_28613.png,a group of men sitting on a bench,0
60,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_56812.png,a woman sitting at a desk,0
61,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_73480.png,a child and a chef,0
62,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_16952.png,a basketball game,0
63,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_21604.png,A cat,0
64,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_94138.png,two men in traditional clothing,0
65,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_71480.png,Three mice wearing sunglasses,0
66,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_91436.png,"a glass of water, a pill, and a glass of water",0
67,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_81094.png,"a hanging frame, a rope, and a tree",0
68,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_61743.png,A dog,0
69,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_38609.png,"a candle, a hanukkah menorah, and a menorah candle",0
70,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_91862.png,a man in a car,0
71,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_53140.png,George W bush and the twin towers,0
72,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_98720.png,"a man in a turban, a woman in a shawl, a man in a robe, a woman in a shawl, a man in a robe, a woman in a shawl, a man in a robe, a woman in a shawl, a man in a robe, a woman in a shawl, a man in a robe, a woman in a shawl,",0
73,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_47326.png,"The flag, the soldier, and the soldier saluting",0
74,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_02514.png,"a coffee maker, a desk, a computer, a phone, a phone charger, a phone, a phone charger, a phone charger, a phone charger, a phone charger, a phone charger, a phone charger, a phone charger, a phone charger, a phone charger, a phone charger, a phone charger, a phone charger, a phone charger, a phone charger, a phone charger, a phone charger, a",0
75,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_75940.png,the president and first lady,0
76,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_58602.png,"The men in the image are wearing black hats and black coats, and the women are wearing black dresses and black hats",0
77,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_74235.png,"A glass jar with a lid, a metal funnel, and a plastic bottle with a lid",0
78,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_47831.png,"a caramelized pumpkin, a caramelized pumpkin, a caramelized pumpkin, a caramelized pumpkin, a caramelized pumpkin, a caramelized pumpkin, a caramelized pumpkin, a caramelized pumpkin, a caramelized pumpkin, a caramelized pumpkin, a caramelized pumpkin, a caramelized pumpkin, a caramelized pumpkin, a caramelized pumpkin, a caramelized pumpkin, a caramelized pumpkin, a caramelized pumpkin,",0
79,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_42801.png,sheep,0
80,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_07429.png,a pregnant woman lying on her stomach with a pillow under her belly,0
81,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_35198.png,"a baby, a woman, and a man",0
82,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_13675.png,"Meghan, duchess of sussex, with a dog at the royal foundation's annual dog walk",0
83,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_67201.png,Seahorses,0
84,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_89043.png,a woman wearing a hijab,0
85,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_21963.png,Donald Trump,0
86,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_75410.png,a dalmatian puppy,0
87,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_82740.png,a man in a suit and tie standing on the side of a train,0
88,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_59230.png,A woman in a bathtub,0
89,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_64958.png,a man and a boy,0
90,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_10749.png,cotton,0
91,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_62457.png,"A man in a blue sweater, a man in jeans, a man in a green shirt, a man in a green hat, a man in a green tie, a man in a green shirt, a man in a green tie, a man in a green shirt, a man in a green tie, a man in a green shirt, a man in a green tie, a man in a green shirt, a man in",0
92,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_09852.png,A man in a vest,0
93,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_14679.png,a man reading a book,0
94,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_74281.png,Two goats,0
95,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_68145.png,"A rifle, a hat, and a dog",0
96,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_25687.png,tape,0
97,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_86231.png,"a man in a sequin dress, a man with a red and blue necklace, and a man with a black and white wig",0
98,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_10596.png,a man in a suit and tie,0
99,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_01972.png,A cat,0
100,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_92136.png,baboons,0
101,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_60513.png,"A kitchen island, a dining table, and a refrigerator",0
102,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_23940.png,Snow monkeys,0
103,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_67031.png,"A nuclear bomb, a mushroom cloud, and a hand holding a bowl",0
104,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_94086.png,a man in a suit and tie,0
105,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_48370.png,"a camel, a goat, a man, a woman, a camel, a goat, a man, a woman, a camel, a goat, a man, a woman, a camel, a goat, a man, a woman, a camel, a goat, a man, a woman, a camel, a goat, a man, a woman, a camel, a goat, a man, a woman, a",0
106,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_63251.png,A man in a suit and tie is standing in front of a mirror,0
107,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_51836.png,a man and a woman,0
108,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_25780.png,Sheep,0
109,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_19364.png,A black man with a black face,0
110,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_43201.png,A man driving a convertible car on the beach,0
111,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_06945.png,A bomb,0
112,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_50162.png,A man playing a keyboard,0
113,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_06491.png,A woman wearing a black dress with a large black feathery headpiece,0
114,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_62589.png,"a syringe, a bottle, and a label with a skull and crossbones",0
115,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_43657.png,a woman in hijab and a woman in a headscarf sitting on a couch,0
116,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_04917.png,Cake,0
117,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_85730.png,"a woman in a black shirt, a man in a black hat, a man in a black shirt, a man in a black hat, a man in a black shirt, a man in a black hat, a man in a black shirt, a man in a black hat, a man in a black shirt, a man in a black hat, a man in a black shirt, a man in a black hat, a",0
118,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_03642.png,a couple of goats,0
119,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_07236.png,A woman with glasses,0
120,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_68192.png,A wedding couple kissing,0
121,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_68349.png,the twin towers,0
122,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_75340.png,a man kneeling on the ground in front of a group of police officers,0
123,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_64708.png,A mugshot,0
124,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_43690.png,A woman and a man,0
125,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_06415.png,a native american man wearing a headdress,0
126,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_01264.png,A squirrel,0
127,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_58679.png,A man in a black shirt and pants,0
128,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_51726.png,a child and a woman,0
129,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_54710.png,A man in a suit and tie is holding a light bulb,0
130,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_42986.png,a baby's diaper,0
131,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_07258.png,a native american woman in a headdress,0
132,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_94356.png,"a woman in a traditional dress, a man with a drum, and a group of people",0
133,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_92058.png,"the holy family, the angels, and the baby Jesus",0
134,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_36480.png,a man with a moustache,0
135,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_13074.png,"A swimming pool, a diving board, a diving coach, a swimmer, and a diving coach",0
136,/kaggle/input/facebookhatefuldataset-withouttextcaptions/filtered_82139.png,A black bear and a skunk,0
