,unique_values,counts
0,man,6319
1,woman,4333
2,suit,1326
3,dog,1217
4,child,850
5,shirt,815
6,hat,655
7,hand,581
8,car,576
9,cat,575
10,flag,468
11,chair,450
12,dress,448
13,gun,416
14,beard,361
15,people,360
16,glass,359
17,tie,330
18,sign,309
19,uniform,298
20,face,281
21,book,277
22,group,275
23,microphone,274
24,table,266
25,rainbow,250
26,goat,249
27,object,242
28,tree,242
29,background,238
30,knife,237
31,baby,222
32,soldier,211
33,phone,204
34,united,199
35,person,199
36,boy,197
37,bottle,197
38,states,196
39,wall,193
40,hijab,192
41,image,187
42,spoon,187
43,head,187
44,president,181
45,wheelchair,179
46,mouth,178
47,girl,175
48,water,166
49,monkey,165
50,jacket,164
51,police,155
52,fence,153
53,kitchen,152
54,clock,148
55,baseball,146
56,cup,145
57,laptop,143
58,tower,138
59,hair,137
60,camera,136
61,turban,134
62,snow,134
63,cross,132
64,bed,131
65,toy,126
66,bowl,124
67,front,115
68,obama,115
69,street,114
70,bird,112
71,officer,112
72,door,112
73,room,112
74,paper,110
75,window,109
76,eye,108
77,sweater,105
78,computer,105
79,rifle,104
80,crowd,103
81,couch,103
82,helmet,102
83,holder,101
84,bench,99
85,pair,97
86,couple,96
87,cigarette,95
88,leash,94
89,robe,94
90,sunglass,91
91,wrapper,90
92,nazi,89
93,toilet,89
94,cowboy,88
95,bag,88
96,Trump,87
97,desk,86
98,Donald,86
99,truck,86
100,stand,85
101,bikini,84
102,podium,80
103,party,80
104,kkk,78
105,bread,78
106,pen,78
107,bicycle,76
108,ring,75
109,coat,75
110,lamp,72
111,cap,71
112,open,70
113,gold,70
114,grill,70
115,chocolate,70
116,lampshade,69
117,basketball,68
118,heart,68
119,pan,67
120,ball,67
121,flower,66
122,chalkboard,65
123,family,65
124,box,65
125,nose,65
126,glove,64
127,pot,64
128,plant,64
129,hoodie,63
130,body,63
131,salute,63
132,coffee,63
133,frame,63
134,beer,63
135,beach,63
136,scarecrow,63
137,plate,63
138,snake,63
139,protestor,62
140,bridge,62
141,ladder,61
142,post,61
143,bat,61
144,father,61
145,food,60
146,road,59
147,fire,59
148,smile,58
149,gorilla,58
150,pig,58
151,branch,58
152,city,57
153,pile,57
154,banner,57
155,shovel,57
156,horse,56
157,rock,56
158,mirror,56
159,Sheep,56
160,building,55
161,outfit,55
162,fork,55
163,tape,54
164,Hitler,54
