,id,img,label,text
5929,01235,img/01235.png,1,when you're feeling horny asf but your habibi is on periods let's try a goat
9829,01236,img/01236.png,0,meanwhile at the isis strip club
8550,01243,img/01243.png,0,"when your human says ""who' s a good girl?"" and you already know it's you"
10196,01245,img/01245.png,0,and that was the last nativity play my son was invited to take part in
10839,01247,img/01247.png,1,you can't be racist if there is no other race
6043,01256,img/01256.png,1,when your debit card decline at the abortion clinic and they have to put the baby back in
9817,01258,img/01258.png,1,ladies! if your man is offended by this he is a faggot. end of story
6304,01264,img/01264.png,0,you're a special kinda nuts aren't you?
2494,01268,img/01268.png,0,father and daughter bonding time is the best like and share if you agree
8246,01269,img/01269.png,1,kermit the frog definitely not a muslim
3773,01274,img/01274.png,0,how you guys think you looks like but when pados wale pandit jee sees you taba renso
3526,01275,img/01275.png,0,if you think t willl stop eating palony and viannas voetsek!!! stupid no brain here
5764,01276,img/01276.png,0,a smile is worth a thousand words
464,01278,img/01278.png,1,hope on a rope it's what everyone's been waiting for
11627,01284,img/01284.png,1,muslims offend me
1214,01285,img/01285.png,0,do i have to go to space???
4244,01293,img/01293.png,0,when you forget to wash your hands
5249,01295,img/01295.png,1,"men wearing dresses and molesting our children? the word you're looking for is clergy, not transgender"
12153,01324,img/01324.png,0,the great train robbers
11992,01325,img/01325.png,0,when your world cup team scores a goal
4702,01327,img/01327.png,0,"i'm not sick, i'm twisted sick makes it sound like there's a cure"
9311,01329,img/01329.png,0,saddle up motherfuckers it's time to play cowboys
7858,01348,img/01348.png,0,meanwhile at the isis strip club
9490,01349,img/01349.png,1,girl you're so special i'm gonna give you a gold star
1858,01358,img/01358.png,0,new implant allows muslims to speak directly with allah apply to forehead
11998,01359,img/01359.png,0,area 51 naruto runners naruto runners let me iiiiiiiiiiiiin! let me in
12173,01364,img/01364.png,1,and that was the last nativity play my son was invited to take part in
377,01368,img/01368.png,1,then he said i couldn't come to the barbecue because i always burn the franks
5287,01379,img/01379.png,0,american teenage girl visiting the children of africa
9945,01382,img/01382.png,0,my body my choice
2849,01389,img/01389.png,0,confession-every sunday around brunch time i take my cat to the mall and make people take pictures of us
2992,01392,img/01392.png,0,hello jesus thanks for making a way!
8370,01395,img/01395.png,1,i just found out mexican babies come out just like the food
1847,01397,img/01397.png,0,"makeup artist $4,000 / month personal stylist $15,000 / week i can't tell the difference"
7702,01423,img/01423.png,0,when you want to nap after a long day of mudding
1532,01425,img/01425.png,0,see? i fuckin told you! little foil on top keeps them jewsy
10774,01436,img/01436.png,1,when the school shooter accidently shoots the autistic kid but doesn't know that the tard strength makes him impervious to bullets
10167,01439,img/01439.png,0,im long and strong and down to get the goat hump on
7484,01452,img/01452.png,0,the feeling after a long day at work
2159,01456,img/01456.png,1,they see them rollin..... they hating..
11977,01459,img/01459.png,0,trust me... ...they're re all terrorists
8308,01465,img/01465.png,0,there is difference between violating muslims and other muslims dont get confused
7777,01467,img/01467.png,1,it's a great day to be a honky!
3505,01468,img/01468.png,0,"assad: my son exploded better than yours, lol hamid:"
5679,01469,img/01469.png,1,when you punch the muslim kid so hard that he starts having seizures and fucking dies the bomb has been defused
7653,01472,img/01472.png,0,in my country this headdress is common to wear if you want to. here in other countries i am also free to wear it if i want to
3281,01475,img/01475.png,1,last time muslims invaded europe vlad stuck poles up their asses and made a fucking forest be like vlad
10199,01476,img/01476.png,0,im confident in my own skin
6855,01483,img/01483.png,0,"feeling bored, let's go to a mosque"
6066,01487,img/01487.png,1,when you forget you're retarded
3112,01492,img/01492.png,0,i don't like the sun so i wear a visor
6233,01497,img/01497.png,1,now back to the married islamic classic.. to children
7926,01498,img/01498.png,0,democrats claim daca kids shouldn't have to pay for their parent's crimes... ...but white people are still responsible for 17th century slave owners??
2997,01524,img/01524.png,0,when you catch your goat with another man
3158,01526,img/01526.png,0,put the money in a bag. now! that will be $0.15
9268,01527,img/01527.png,0,oh no i can't run anymore
9331,01529,img/01529.png,0,acceptance of individuality is not a disgusting thing
6714,01546,img/01546.png,1,kill the jews and muslims for being anti-white
10703,01547,img/01547.png,0,how mexicans be like... when they hear their friends kid is having a birthday party
10814,01548,img/01548.png,0,"what are they fighting over? is it: a) the last pan ducle b) he accidentally touch the homies hand passing a beer? c) foo used the last of the three flowers. d) homie said ""i got you on gas"" but he only has $3!"
164,01562,img/01562.png,1,how roaches be when you shut off the kitchen light
10519,01564,img/01564.png,0,puts on sunblock doesn't protect from harmful rays
771,01567,img/01567.png,0,hitler was an evil man
4177,01568,img/01568.png,1,do you think a terrorist has or could infiltrate our goverment ???
2538,01569,img/01569.png,0,when you can't decide to pre heat the oven or just throw the meal in right away
4461,01576,img/01576.png,0,when your ex ask you for help
4784,01578,img/01578.png,1,sea monkeys
9530,01579,img/01579.png,1,"muslim figure: ""we must have pork-free menus or we will leave u.s"" bacon america great again!"
5370,01589,img/01589.png,1,has an orgasm... ...shoots out tranny fluid
1387,01594,img/01594.png,0,"i do not like taking pictures oh well, go ahead take it"
5090,01598,img/01598.png,0,men are like dogs we're excited to see you... and have no clue what you're mad about
11597,01627,img/01627.png,1,jew jerky: leave out in the sun until all moisture is gone store in a cool dark place for 3 days
11738,01634,img/01634.png,0,"""aye, tone! why would dey delouse 'em if dey was just gonna whack 'em?!"""
5350,01637,img/01637.png,0,this time jesus you're not getting away
3496,01642,img/01642.png,1,this would be racist if black people could read
9199,01643,img/01643.png,1,i'm not a racist my shadow is black
10937,01649,img/01649.png,1,american cops when they graduate police academy let the black man come forth! let murder be done upon him!
6291,01653,img/01653.png,0,"a girl asks her mom, ""why am i black and you're white?"" she says, ""the way that party went, you're lucky you don't bark. """
3023,01658,img/01658.png,0,first rule of fight club.
6758,01672,img/01672.png,0,when the new call of duty comes out and you're already camping
1580,01674,img/01674.png,0,i went on a date blind date
5429,01682,img/01682.png,1,fuck allah fuck islam and guck the child raper muhammad and yes that's pork in the quran
813,01689,img/01689.png,0,the nazi symbol is not punk rock
6156,01694,img/01694.png,0,which one should we butcher first
7898,01698,img/01698.png,0,this guy cut her head off workplace violence my ass
790,01723,img/01723.png,0,wait don't forget to feed me!
2332,01726,img/01726.png,1,a real man loads the dishwasher every night
9130,01734,img/01734.png,0,and that was the last time we let uncle larry babysit
1107,01735,img/01735.png,0,spending time with dad
7766,01736,img/01736.png,0,korean war soldiers come home msnbc no live coverage cnn 58 seconds nbc no coverage abc 24 seconds cbc no coverage share if they should be ashamed
1158,01738,img/01738.png,0,everybody hates chris
2220,01742,img/01742.png,0,in just one hour from now i'll only have 4 hours left until i have to work a mere 3 hours
8015,01743,img/01743.png,0,sen mitt romney wall declaration let's make this his last term wwg1wga! utah voted against trumps emergency
7947,01746,img/01746.png,0,everyone told me you gonna be a blessing
3622,01749,img/01749.png,0,so then we told them cannabis is dangerous and pharmaceuticals are good for you
9031,01756,img/01756.png,0,she is a fast runner
380,01758,img/01758.png,1,we talked about it  i agreed dinner would be ready on time in the future
147,01762,img/01762.png,1,look at them playing their favorite sport ... cross-country
10836,01763,img/01763.png,0,want a spin ?
2217,01765,img/01765.png,1,"after a girl dies, what organ in her body stays warm? my dick"
11048,01768,img/01768.png,0,when you're so happy n to be with family
3567,01793,img/01793.png,1,don't mind me i'm only watering my muslims
10715,01794,img/01794.png,0,i beat children
11146,01796,img/01796.png,1,life hack #23 how to get stoned with no weed
6858,01823,img/01823.png,0,i too was once a male trapped in a female's body but then i was born
9857,01827,img/01827.png,0,if your man is offended by this then he's never been hunting
5557,01829,img/01829.png,0,him: the dishwasher is acting weird her: what's it doing him: chopping fucking vegetables
340,01834,img/01834.png,1,4 years with these kids i'm tired
8768,01835,img/01835.png,0,that makes my lady junk tingle
12361,01836,img/01836.png,0,can you hear me at the back?
3885,01842,img/01842.png,0,it's a wiener pit kinda like your mouth
2601,01845,img/01845.png,0,when you consume too much trans fat
7675,01854,img/01854.png,0,goes for when an indian walk with his dog
11560,01865,img/01865.png,1,i'm this pretty because both my parents are white
1150,01874,img/01874.png,0,when you get in trouble for eating all the cookies
4715,01875,img/01875.png,0,does anyone know if he had a donor card? i need parts for my go-cart
9098,01892,img/01892.png,0,i did not divide the country the republican decision to obstruct every single thing i proposed to help us dig out of the financial crisis they caused divided the country
1907,01893,img/01893.png,0,american asians how to prepare the dog for the family event
10399,01894,img/01894.png,0,we haven't t seen any new jesus appearances on pancakes in a while i hope he's okay
