,filename,caption_generated,Pass(0)/Fail(1)
0,/kaggle/input/facebook-hateful-meme-dataset/data/img/52691.png,Trump supporters,0
1,/kaggle/input/facebook-hateful-meme-dataset/data/img/37825.png,Illegal aliens with immigrants,0
2,/kaggle/input/facebook-hateful-meme-dataset/data/img/06781.png,"A bullet, a gun, and a crocheted object",0
3,/kaggle/input/facebook-hateful-meme-dataset/data/img/49075.png,"tents, a campground, and a question mark",0
4,/kaggle/input/facebook-hateful-meme-dataset/data/img/73516.png,When the Jews geneti,0
5,/kaggle/input/facebook-hateful-meme-dataset/data/img/14260.png,The objects are the snow covered mountains,0
6,/kaggle/input/facebook-hateful-meme-dataset/data/img/84059.png,"Trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans women are women, trans",0
7,/kaggle/input/facebook-hateful-meme-dataset/data/img/91753.png,America is made from immigrants,0
8,/kaggle/input/facebook-hateful-meme-dataset/data/img/68472.png,a happy and stupid couple,0
9,/kaggle/input/facebook-hateful-meme-dataset/data/img/04915.png,Rhinos.,0
10,/kaggle/input/facebook-hateful-meme-dataset/data/img/91654.png,A woman and her daughter,0
11,/kaggle/input/facebook-hateful-meme-dataset/data/img/47982.png,God created this not that,0
12,/kaggle/input/facebook-hateful-meme-dataset/data/img/71083.png,Chickens,0
13,/kaggle/input/facebook-hateful-meme-dataset/data/img/73045.png,Where's jaws when you need him?,0
14,/kaggle/input/facebook-hateful-meme-dataset/data/img/47938.png,The coal miner,0
15,/kaggle/input/facebook-hateful-meme-dataset/data/img/89465.png,"A gun, a woman, and a question mark",0
16,/kaggle/input/facebook-hateful-meme-dataset/data/img/53260.png,3 muslims walk into a bar,0
17,/kaggle/input/facebook-hateful-meme-dataset/data/img/50738.png,White kids,0
18,/kaggle/input/facebook-hateful-meme-dataset/data/img/89754.png,"The city of hong kong, the hong kong skyline, and the hong kong harbor",0
19,/kaggle/input/facebook-hateful-meme-dataset/data/img/36095.png,"A woman with her mouth open, a man with his mouth open, and a man with his mouth open",0
20,/kaggle/input/facebook-hateful-meme-dataset/data/img/85410.png,A bomb,0
21,/kaggle/input/facebook-hateful-meme-dataset/data/img/28759.png,"A dog, a cat, a chair, a table, a lamp, a lampshade, a lamp, a lampshade, a lampshade, a lampshade, a lampshade, a lampshade, a lampshade, a lampshade, a lampshade, a lampshade, a lampshade, a lampshade, a lampshade, a lampsh",0
22,/kaggle/input/facebook-hateful-meme-dataset/data/img/51094.png,"A truck, a man, and a question",0
23,/kaggle/input/facebook-hateful-meme-dataset/data/img/49613.png,What can we say?,0
24,/kaggle/input/facebook-hateful-meme-dataset/data/img/70942.png,Dildos,0
25,/kaggle/input/facebook-hateful-meme-dataset/data/img/35708.png,The children of the 1940s,0
26,/kaggle/input/facebook-hateful-meme-dataset/data/img/52140.png,"A steak, a black jacket, and a man with a beard",0
27,/kaggle/input/facebook-hateful-meme-dataset/data/img/23018.png,Sandwiches,0
28,/kaggle/input/facebook-hateful-meme-dataset/data/img/12867.png,"A man in a white shirt, a man in a black shirt, and a man in a black shirt",0
29,/kaggle/input/facebook-hateful-meme-dataset/data/img/72461.png,Baked,0
30,/kaggle/input/facebook-hateful-meme-dataset/data/img/13570.png,"The US flag, the US flag, the US flag, the US flag, the US flag, the US flag, the US flag, the US flag, the US flag, the US flag, the US flag, the US flag, the US flag, the US flag, the US flag, the US flag, the US flag, the US flag, the US flag, the US flag, the US flag, the US",0
31,/kaggle/input/facebook-hateful-meme-dataset/data/img/42851.png,My depression,0
32,/kaggle/input/facebook-hateful-meme-dataset/data/img/27410.png,party tonight,0
33,/kaggle/input/facebook-hateful-meme-dataset/data/img/75023.png,"A man, a truck, a gun, and a black tv",0
34,/kaggle/input/facebook-hateful-meme-dataset/data/img/86059.png,Cannabis,0
35,/kaggle/input/facebook-hateful-meme-dataset/data/img/29475.png,10 times more than you,0
36,/kaggle/input/facebook-hateful-meme-dataset/data/img/70231.png,The kufi best,0
37,/kaggle/input/facebook-hateful-meme-dataset/data/img/46075.png,"A sandwich, a hammer, and a building",0
38,/kaggle/input/facebook-hateful-meme-dataset/data/img/53962.png,Americans,0
39,/kaggle/input/facebook-hateful-meme-dataset/data/img/78054.png,Everything is going wrong but you're positive,0
40,/kaggle/input/facebook-hateful-meme-dataset/data/img/93016.png,Drinking wine is bad drinking camel piss is good,0
41,/kaggle/input/facebook-hateful-meme-dataset/data/img/68254.png,A woman and a man,0
